,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
444,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,5.0,0.0,1.0
445,Married,More than 20 years,Never,retired,Female,> 60,Did not disclose,Some college or Associate degree,East North Central,1,4,0,3,5.0,0.0,1.0
446,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,West South Central,1,3,3,5,5.0,3.0,0.0
447,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,1,1,3,4,1.0,0.0,1.0
448,Married,11-15 years,Never,Transcription,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,3.0,0.0,1.0
449,Married,More than 20 years,Every night,Homemaker,Female,> 60,Did not disclose,High school degree,Pacific,1,4,0,2,5.0,5.0,0.0
450,Married,More than 20 years,Never,Retired,Female,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic,1,4,2,2,5.0,0.0,1.0
451,Married,More than 20 years,Once a year or less,Retired,Male,45-60,"$50,000 - $99,999",Bachelor degree,West South Central,0,3,3,4,5.0,1.0,0.0
452,Married,11-15 years,Never,Food Preparation and Serving Related Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Pacific,1,2,0,3,3.0,0.0,1.0
453,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,1,2,0,5,5.0,0.0,1.0
454,Married,More than 20 years,Once a year or less,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,3,4,3,5.0,1.0,0.0
455,In a domestic partnership or civil union,1-5 years,Never,Personal Care and Service Occupations,Female,18-29,Did not disclose,High school degree,Mountain,1,1,0,2,1.0,0.0,1.0
456,Married,6-10 years,A few times per month,Healthcare Support Occupations,Female,30-44,"$150,000+",Graduate degree,South Atlantic,1,2,5,5,2.0,3.0,0.0
457,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,0,5,5.0,0.0,1.0
458,"Single, but cohabiting with a significant other",,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
459,Married,More than 20 years,Every night,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,4,4,5,5.0,5.0,0.0
460,In a domestic partnership or civil union,1-5 years,Every night,Healthcare Practitioners and Technical Occupations,Female,30-44,"$0 - $24,999",High school degree,East South Central,1,2,1,2,1.0,5.0,0.0
461,Married,16-20 years,Never,fire department,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,2,4,4,4.0,0.0,1.0
462,"Single, but cohabiting with a significant other",1-5 years,Never,Personal Care and Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,0.0,1.0
463,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5,5.0,5.0,0.0
464,Married,11-15 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,0.0,1.0
465,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,1,2,3,1.0,0.0,1.0
466,Married,11-15 years,Every night,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,2,4,3,3.0,5.0,0.0
467,"Single, but cohabiting with a significant other",6-10 years,Never,dog groomer,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,1,3,3,2.0,0.0,1.0
468,Married,More than 20 years,Never,"Installation, Maintenance, and Repair Occupations",Female,45-60,Did not disclose,High school degree,East South Central,1,3,0,2,5.0,0.0,1.0
469,Married,11-15 years,Once a year or less,research regulation,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,1,2,3,4,3.0,1.0,0.0
470,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Bachelor degree,Pacific,1,3,0,4,3.0,0.0,1.0
471,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,5.0,0.0,1.0
472,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Pacific,1,3,0,3,5.0,0.0,1.0
473,Married,More than 20 years,Once a year or less,Volunteer with animal welfare nonprofits,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,1.0,0.0
474,Married,6-10 years,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
475,Married,16-20 years,Once a year or less,Management Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific,0,2,3,5,4.0,1.0,0.0
476,Married,16-20 years,Never,Legal Occupations,Male,30-44,"$150,000+",Graduate degree,East North Central,0,2,5,5,4.0,0.0,1.0
477,Married,More than 20 years,Never,Retired from substance abuse counseling.,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,5.0,0.0,1.0
478,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4,5.0,0.0,1.0
479,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central,1,1,3,5,1.0,0.0,1.0
480,Married,11-15 years,A few times per month,Management Occupations,Male,45-60,Did not disclose,Graduate degree,Middle Atlantic,0,3,0,5,3.0,3.0,0.0
481,Married,16-20 years,A few times per week,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4,4.0,4.0,0.0
482,Married,11-15 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,New England,1,3,4,5,3.0,5.0,0.0
483,Married,1-5 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,1,2,2,5,1.0,1.0,0.0
484,Married,More than 20 years,Never,Food Preparation and Serving Related Occupations,Female,45-60,"$25,000 - $49,999",Bachelor degree,East South Central,1,3,2,4,5.0,0.0,1.0
485,"Single, but cohabiting with a significant other",1-5 years,Never,Public safety,Female,18-29,"$50,000 - $99,999",Bachelor degree,New England,1,1,3,4,1.0,0.0,1.0
486,"Single, but cohabiting with a significant other",1-5 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,5.0,0.0
487,"Single, but cohabiting with a significant other",6-10 years,Never,Public Health,Female,18-29,"$0 - $24,999",Bachelor degree,West North Central,1,1,1,4,2.0,0.0,1.0
488,Married,More than 20 years,A few times per week,We are both retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,5.0,4.0,0.0
489,Married,6-10 years,Once a year or less,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,1,3,3,2.0,1.0,0.0
490,Married,More than 20 years,Once a year or less,retired,Male,45-60,Did not disclose,Bachelor degree,Pacific,0,3,0,4,5.0,1.0,0.0
491,Married,More than 20 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,5.0,0.0
492,Married,6-10 years,A few times per month,Small Business Owner,Female,18-29,"$150,000+",High school degree,Pacific,1,1,5,2,2.0,3.0,0.0
493,Married,11-15 years,Every night,Sales and Related Occupations,Male,45-60,"$0 - $24,999",High school degree,South Atlantic,0,3,1,2,3.0,5.0,0.0
494,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,2,3,4,1.0,0.0,1.0
495,Married,More than 20 years,Once a year or less,Volunteer for animal welfare nonprofits,Female,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,1,4,4,4,5.0,1.0,0.0
496,Married,More than 20 years,Never,Legal Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,5.0,0.0,1.0
497,Married,More than 20 years,Once a year or less,Business and Financial Operations Occupations,Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5,5.0,1.0,0.0
498,Married,16-20 years,Never,Sales and Related Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,1,2,0,3,4.0,0.0,1.0
499,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,4.0,0.0,1.0
500,Married,6-10 years,Every night,Business and Financial Operations Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3,2.0,5.0,0.0
501,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,4,3,3,5.0,5.0,0.0
502,Married,1-5 years,Never,"Writing and editing, self-employed",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,1.0,0.0,1.0
503,Married,More than 20 years,Once a year or less,Occupational Health and Safety,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4,5.0,1.0,0.0
504,Married,16-20 years,Once a month or less,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,2.0,0.0
505,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Male,18-29,"$50,000 - $99,999",High school degree,West North Central,0,1,3,2,2.0,2.0,0.0
506,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,5.0,0.0,1.0
507,Married,More than 20 years,Once a month or less,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,West North Central,1,3,5,5,5.0,2.0,0.0
508,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,5.0,4.0,0.0
509,"Single, but cohabiting with a significant other",1-5 years,Every night,retired,Male,> 60,Did not disclose,Some college or Associate degree,East North Central,0,4,0,3,1.0,5.0,0.0
510,"Single, but cohabiting with a significant other",1-5 years,Never,Computer and Mathematical Occupations,Female,30-44,"$150,000+",Some college or Associate degree,East North Central,1,2,5,3,1.0,0.0,1.0
511,In a domestic partnership or civil union,1-5 years,Never,Computer and Mathematical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,1,3,4,3,1.0,0.0,1.0
512,Married,More than 20 years,Never,Retired,Female,> 60,"$150,000+",Graduate degree,West South Central,1,4,5,5,5.0,0.0,1.0
513,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",High school degree,West North Central,0,4,3,2,5.0,0.0,1.0
514,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$50,000 - $99,999",High school degree,East North Central,1,1,3,2,2.0,0.0,1.0
515,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3,5.0,0.0,1.0
516,In a domestic partnership or civil union,11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5,3.0,0.0,1.0
517,Married,16-20 years,Never,Human Resources,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,1,2,4,5,4.0,0.0,1.0
518,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,1,3,3,4,5.0,0.0,1.0
519,Married,More than 20 years,A few times per month,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,New England,0,4,4,4,5.0,3.0,0.0
520,Married,16-20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3,4.0,0.0,1.0
521,In a domestic partnership or civil union,1-5 years,Never,Sales and Related Occupations,Female,18-29,"$100,000 - $149,999",High school degree,Mountain,1,1,4,2,1.0,0.0,1.0
522,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,5.0,0.0,1.0
523,Married,More than 20 years,Once a year or less,Retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,1,4,3,4,5.0,1.0,0.0
524,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
525,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,West South Central,1,1,2,4,1.0,0.0,1.0
526,Married,More than 20 years,Never,graduate student,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,3,3,4,5.0,0.0,1.0
527,Married,More than 20 years,Never,Semi-retired Job-Shop,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,4,4,3,5.0,0.0,1.0
528,Married,6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Graduate degree,Mountain,0,3,0,5,2.0,1.0,0.0
529,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4,5.0,0.0,1.0
530,In a domestic partnership or civil union,1-5 years,Never,Customer Service,Male,18-29,Did not disclose,Some college or Associate degree,Did not disclose,0,1,0,3,1.0,0.0,1.0
531,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,5.0,0.0,1.0
532,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,5.0,0.0,1.0
533,Married,More than 20 years,Once a month or less,retired,Female,> 60,Did not disclose,Bachelor degree,South Atlantic,1,4,0,4,5.0,2.0,0.0
534,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,5.0,0.0,1.0
535,Married,11-15 years,Never,Legal Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,West South Central,1,4,3,5,3.0,0.0,1.0
536,Married,More than 20 years,Never,Protective Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
537,Married,More than 20 years,Never,Retired,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central,1,4,3,5,5.0,0.0,1.0
538,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Bachelor degree,West South Central,1,3,5,4,5.0,4.0,0.0
539,Married,More than 20 years,Never,retired educator,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,5.0,0.0,1.0
540,Married,11-15 years,Never,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,0,3,4,2,3.0,0.0,1.0
541,Married,11-15 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,1,2,3,4,3.0,1.0,0.0
542,Married,6-10 years,Once a month or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,0,2,3,3,2.0,2.0,0.0
543,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,2.0,0.0,1.0
544,Married,1-5 years,Never,Legal Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,1.0,0.0,1.0
